name,length,f1,precision,recall,tp,fp,fn,threshold
bpRNA_RFAM_10600,233,0.475000,0.575758,0.404255,19,14,28,0.7300
bpRNA_RFAM_10621,278,0.436364,0.500000,0.387097,24,24,38,0.7100
bpRNA_RFAM_10644,83,0.217391,0.200000,0.238095,5,20,16,0.1400
bpRNA_RFAM_10710,63,0.883721,0.791667,1.000000,19,5,0,0.7500
bpRNA_RFAM_1072,192,0.458015,0.348837,0.666667,30,56,15,0.4400
bpRNA_RFAM_10720,62,0.826087,0.703704,1.000000,19,8,0,0.6900
bpRNA_RFAM_10749,85,0.536585,0.611111,0.478261,11,7,12,0.5300
bpRNA_RFAM_10774,89,0.977778,1.000000,0.956522,22,0,1,0.4300
bpRNA_RFAM_10779,85,0.851064,0.833333,0.869565,20,4,3,0.6300
bpRNA_RFAM_10869,75,0.844444,0.791667,0.904762,19,5,2,0.8300
bpRNA_RFAM_10893,111,0.800000,1.000000,0.666667,18,0,9,0.8600
bpRNA_RFAM_10951,91,0.892857,0.892857,0.892857,25,3,3,0.9300
bpRNA_RFAM_11056,73,0.717949,0.636364,0.823529,14,8,3,0.9200
bpRNA_RFAM_11088,75,0.818182,0.857143,0.782609,18,3,5,0.9400
bpRNA_RFAM_11103,75,0.833333,0.800000,0.869565,20,5,3,0.4900
bpRNA_RFAM_11176,88,0.851852,0.884615,0.821429,23,3,5,0.8700
bpRNA_RFAM_11250,229,0.087591,0.060302,0.160000,12,187,63,0.4300
bpRNA_RFAM_11339,95,0.600000,0.600000,0.600000,6,4,4,0.8600
bpRNA_RFAM_11392,83,0.777778,0.700000,0.875000,7,3,1,0.2900
bpRNA_RFAM_11557,78,1.000000,1.000000,1.000000,3,0,0,0.3100
bpRNA_RFAM_11638,131,0.705882,0.750000,0.666667,18,6,9,0.7100
bpRNA_RFAM_11679,97,0.571429,0.400000,1.000000,6,9,0,0.4700
bpRNA_RFAM_1170,74,1.000000,1.000000,1.000000,20,0,0,0.9500
bpRNA_RFAM_11713,91,1.000000,1.000000,1.000000,1,0,0,0.5600
bpRNA_RFAM_11730,125,0.121212,0.064516,1.000000,2,29,0,0.1700
bpRNA_RFAM_11766,115,0.571429,0.500000,0.666667,2,2,1,0.9700
bpRNA_RFAM_1177,70,0.904762,0.863636,0.950000,19,3,1,0.8100
bpRNA_RFAM_11817,112,0.708333,0.739130,0.680000,17,6,8,0.4400
bpRNA_RFAM_11840,98,0.571429,0.444444,0.800000,4,5,1,0.6400
bpRNA_RFAM_11843,100,0.800000,0.800000,0.800000,4,1,1,0.9200
bpRNA_RFAM_11948,129,0.017575,0.008929,0.555556,5,555,4,0.0300
bpRNA_RFAM_11955,127,0.370370,0.312500,0.454545,5,11,6,0.2800
bpRNA_RFAM_11966,75,0.363636,0.235294,0.800000,4,13,1,0.2400
bpRNA_RFAM_12002,92,0.888889,0.800000,1.000000,4,1,0,0.9400
bpRNA_RFAM_12054,82,0.545455,0.600000,0.500000,3,2,3,0.7200
bpRNA_RFAM_12084,98,0.857143,0.750000,1.000000,9,3,0,0.6600
bpRNA_RFAM_12095,102,0.709677,0.785714,0.647059,11,3,6,0.4700
bpRNA_RFAM_12137,106,0.736842,0.583333,1.000000,7,5,0,0.5500
bpRNA_RFAM_12177,63,0.692308,0.818182,0.600000,9,2,6,0.8700
bpRNA_RFAM_12220,95,1.000000,1.000000,1.000000,1,0,0,0.9600
bpRNA_RFAM_12253,85,1.000000,1.000000,1.000000,5,0,0,0.9300
bpRNA_RFAM_12293,96,1.000000,1.000000,1.000000,5,0,0,0.8900
bpRNA_RFAM_12337,119,1.000000,1.000000,1.000000,5,0,0,0.5800
bpRNA_RFAM_1243,93,0.900000,0.900000,0.900000,18,2,2,0.9300
bpRNA_RFAM_12462,331,0.334884,0.281250,0.413793,36,92,51,0.4900
bpRNA_RFAM_12780,143,0.553191,0.619048,0.500000,13,8,13,0.5800
bpRNA_RFAM_12781,138,0.717949,0.933333,0.583333,14,1,10,0.7300
bpRNA_RFAM_12784,121,0.545455,0.450000,0.692308,18,22,8,0.4900
bpRNA_RFAM_12790,223,0.350000,0.500000,0.269231,7,7,19,0.8200
bpRNA_RFAM_12799,140,0.520000,0.541667,0.500000,13,11,13,0.6400
bpRNA_RFAM_12829,147,0.680000,0.708333,0.653846,17,7,9,0.5600
bpRNA_RFAM_12833,130,0.600000,0.477273,0.807692,21,23,5,0.5500
bpRNA_RFAM_12851,140,0.488889,0.578947,0.423077,11,8,15,0.5300
bpRNA_RFAM_12856,124,0.322581,0.223881,0.576923,15,52,11,0.1700
bpRNA_RFAM_12885,174,0.476190,0.512821,0.444444,20,19,25,0.6000
bpRNA_RFAM_12914,162,0.500000,0.525000,0.477273,21,19,23,0.5600
bpRNA_RFAM_12960,164,0.567568,0.777778,0.446809,21,6,26,0.7500
bpRNA_RFAM_1298,70,0.923077,0.947368,0.900000,18,1,2,0.9500
bpRNA_RFAM_12985,174,0.585714,0.440860,0.872340,41,52,6,0.3900
bpRNA_RFAM_12995,167,0.345455,0.292308,0.422222,19,46,26,0.3400
bpRNA_RFAM_13005,174,0.470588,0.761905,0.340426,16,5,31,0.6500
bpRNA_RFAM_13006,174,0.453333,0.607143,0.361702,17,11,30,0.7900
bpRNA_RFAM_13033,166,0.510638,0.510638,0.510638,24,23,23,0.3900
bpRNA_RFAM_1318,73,1.000000,1.000000,1.000000,20,0,0,0.9000
bpRNA_RFAM_13310,133,0.060150,0.036697,0.166667,4,105,20,0.0900
bpRNA_RFAM_13334,138,0.111111,0.075758,0.208333,5,61,19,0.2000
bpRNA_RFAM_1334,73,0.975610,0.952381,1.000000,20,1,0,0.8500
bpRNA_RFAM_13342,116,0.072917,0.040000,0.411765,7,168,10,0.0800
bpRNA_RFAM_1339,72,0.975610,0.952381,1.000000,20,1,0,0.8800
bpRNA_RFAM_13474,127,0.600000,0.538462,0.677419,21,18,10,0.6400
bpRNA_RFAM_1349,72,0.975610,0.952381,1.000000,20,1,0,0.3900
bpRNA_RFAM_13495,132,0.500000,0.714286,0.384615,15,6,24,0.6600
bpRNA_RFAM_13610,130,0.228571,0.285714,0.190476,4,10,17,0.7500
bpRNA_RFAM_1364,68,0.952381,0.909091,1.000000,20,2,0,0.7100
bpRNA_RFAM_13643,138,0.857143,0.900000,0.818182,18,2,4,0.8600
bpRNA_RFAM_13647,138,0.444444,0.434783,0.454545,10,13,12,0.6000
bpRNA_RFAM_13685,132,0.692308,0.642857,0.750000,18,10,6,0.8000
bpRNA_RFAM_13722,136,0.355556,0.363636,0.347826,8,14,15,0.9200
bpRNA_RFAM_13735,132,0.761905,0.685714,0.857143,24,11,4,0.4300
bpRNA_RFAM_13738,135,0.646154,0.538462,0.807692,21,18,5,0.8100
bpRNA_RFAM_13745,134,0.645161,0.555556,0.769231,20,16,6,0.4200
bpRNA_RFAM_13772,136,0.666667,0.600000,0.750000,18,12,6,0.7700
bpRNA_RFAM_13841,129,0.290909,0.187500,0.648649,24,104,13,0.1300
bpRNA_RFAM_13854,134,0.666667,0.812500,0.565217,13,3,10,0.8900
bpRNA_RFAM_13925,137,0.461538,0.545455,0.400000,12,10,18,0.6800
bpRNA_RFAM_13954,128,0.562500,0.450000,0.750000,18,22,6,0.7500
bpRNA_RFAM_13965,131,0.644068,0.558824,0.760000,19,15,6,0.5800
bpRNA_RFAM_14030,172,0.172285,0.105991,0.460000,23,194,27,0.1200
bpRNA_RFAM_14056,126,0.722222,0.684211,0.764706,26,12,8,0.6300
bpRNA_RFAM_14088,128,0.721311,0.880000,0.611111,22,3,14,0.6100
bpRNA_RFAM_141,116,0.738462,0.750000,0.727273,24,8,9,0.6300
bpRNA_RFAM_14172,129,0.677419,0.677419,0.677419,21,10,10,0.7700
bpRNA_RFAM_14204,132,0.458333,0.578947,0.379310,11,8,18,0.8500
bpRNA_RFAM_14208,129,0.184397,0.116071,0.448276,13,99,16,0.2300
bpRNA_RFAM_14269,54,0.782609,0.692308,0.900000,9,4,1,0.8400
bpRNA_RFAM_14369,114,0.651163,0.608696,0.700000,14,9,6,0.7700
bpRNA_RFAM_14381,102,0.693878,0.548387,0.944444,17,14,1,0.6500
bpRNA_RFAM_14383,124,0.135593,0.097561,0.222222,4,37,14,0.2400
bpRNA_RFAM_14474,123,0.857143,0.827586,0.888889,24,5,3,0.8200
bpRNA_RFAM_14476,99,0.464286,0.419355,0.520000,13,18,12,0.8800
bpRNA_RFAM_14497,89,0.765957,0.666667,0.900000,18,9,2,0.8200
bpRNA_RFAM_14510,88,0.604651,0.565217,0.650000,13,10,7,0.8500
bpRNA_RFAM_14568,112,0.793651,0.757576,0.833333,25,8,5,0.9000
bpRNA_RFAM_14635,91,0.915254,0.900000,0.931034,27,3,2,0.9200
bpRNA_RFAM_14673,201,0.400000,0.293651,0.627119,37,89,22,0.3400
bpRNA_RFAM_14681,282,0.170000,0.118881,0.298246,17,126,40,0.3200
bpRNA_RFAM_14689,74,0.131148,0.085106,0.285714,4,43,10,0.0300
bpRNA_RFAM_14714,74,0.288660,0.168675,1.000000,14,69,0,0.0700
bpRNA_RFAM_14719,74,0.145455,0.097561,0.285714,4,37,10,0.0400
bpRNA_RFAM_14765,59,0.571429,0.800000,0.444444,8,2,10,0.3800
bpRNA_RFAM_14771,60,0.538462,0.875000,0.388889,7,1,11,0.6300
bpRNA_RFAM_1483,72,0.975610,0.952381,1.000000,20,1,0,0.8700
bpRNA_RFAM_15065,87,1.000000,1.000000,1.000000,3,0,0,0.9300
bpRNA_RFAM_15087,274,0.195122,0.173913,0.222222,12,57,42,0.6000
bpRNA_RFAM_1516,69,0.918919,1.000000,0.850000,17,0,3,0.8600
bpRNA_RFAM_15323,114,0.400000,0.470588,0.347826,8,9,15,0.5600
bpRNA_RFAM_15339,114,0.555556,0.769231,0.434783,10,3,13,0.7900
bpRNA_RFAM_15356,114,0.238095,0.263158,0.217391,5,14,18,0.4400
bpRNA_RFAM_15371,114,0.588235,0.535714,0.652174,15,13,8,0.6200
bpRNA_RFAM_15382,92,0.819672,0.694444,1.000000,25,11,0,0.8700
bpRNA_RFAM_15485,83,0.800000,0.727273,0.888889,8,3,1,0.9400
bpRNA_RFAM_15486,81,0.444444,0.444444,0.444444,4,5,5,0.6100
bpRNA_RFAM_15534,68,0.697674,0.555556,0.937500,15,12,1,0.2400
bpRNA_RFAM_15563,117,0.407407,0.333333,0.523810,11,22,10,0.3600
bpRNA_RFAM_15570,99,0.558140,0.571429,0.545455,12,9,10,0.8900
bpRNA_RFAM_15583,96,0.615385,0.705882,0.545455,12,5,10,0.6900
bpRNA_RFAM_15588,93,0.488889,0.478261,0.500000,11,12,11,0.6400
bpRNA_RFAM_15608,66,0.969697,0.941176,1.000000,16,1,0,0.5700
bpRNA_RFAM_15616,119,0.509804,0.812500,0.371429,13,3,22,0.9400
bpRNA_RFAM_1569,73,1.000000,1.000000,1.000000,20,0,0,0.9400
bpRNA_RFAM_1570,73,0.975610,0.952381,1.000000,20,1,0,0.6400
bpRNA_RFAM_15706,104,0.482759,0.875000,0.333333,7,1,14,0.7800
bpRNA_RFAM_15709,95,0.731707,0.750000,0.714286,15,5,6,0.8500
bpRNA_RFAM_15727,120,0.600000,0.882353,0.454545,15,2,18,0.8500
bpRNA_RFAM_15745,128,0.763636,0.875000,0.677419,21,3,10,0.8700
bpRNA_RFAM_15769,115,0.507042,0.600000,0.439024,18,12,23,0.8800
bpRNA_RFAM_15770,93,0.469136,0.358491,0.678571,19,34,9,0.3100
bpRNA_RFAM_15819,54,0.740741,0.666667,0.833333,10,5,2,0.0400
bpRNA_RFAM_15910,77,0.962963,0.928571,1.000000,13,1,0,0.8600
bpRNA_RFAM_15943,74,0.666667,0.642857,0.692308,9,5,4,0.7100
bpRNA_RFAM_15983,77,0.833333,0.833333,0.833333,5,1,1,0.6500
bpRNA_RFAM_160,118,0.384615,0.526316,0.303030,10,9,23,0.3200
bpRNA_RFAM_16001,45,0.888889,1.000000,0.800000,4,0,1,0.3100
bpRNA_RFAM_16130,43,0.500000,0.363636,0.800000,4,7,1,0.0800
bpRNA_RFAM_1614,84,0.975610,0.952381,1.000000,20,1,0,0.7600
bpRNA_RFAM_16184,183,0.238095,0.454545,0.161290,5,6,26,0.6000
bpRNA_RFAM_16197,202,0.387097,0.346154,0.439024,18,34,23,0.3400
bpRNA_RFAM_16285,61,0.100000,0.053763,0.714286,10,176,4,0.0200
bpRNA_RFAM_16334,89,0.017804,0.008982,1.000000,3,331,0,0.0200
bpRNA_RFAM_16359,72,0.173913,0.095238,1.000000,2,19,0,0.4300
bpRNA_RFAM_16466,95,0.214286,0.120000,1.000000,3,22,0,0.1000
bpRNA_RFAM_1650,69,0.480000,0.857143,0.333333,6,1,12,0.9300
bpRNA_RFAM_16526,156,0.225352,0.186047,0.285714,8,35,20,0.2500
bpRNA_RFAM_16548,143,0.740741,0.666667,0.833333,20,10,4,0.5300
bpRNA_RFAM_16599,141,0.721311,0.880000,0.611111,22,3,14,0.7700
bpRNA_RFAM_16638,332,0.017094,0.014493,0.020833,2,136,94,0.3600
bpRNA_RFAM_16655,138,0.571429,0.714286,0.476190,20,8,22,0.4800
bpRNA_RFAM_16668,130,0.352941,0.387097,0.324324,12,19,25,0.6100
bpRNA_RFAM_16699,140,0.623377,0.685714,0.571429,24,11,18,0.7700
bpRNA_RFAM_16704,128,0.452830,0.363636,0.600000,24,42,16,0.2700
bpRNA_RFAM_16741,151,0.074419,0.045977,0.195122,8,166,33,0.0800
bpRNA_RFAM_16808,166,0.547009,0.450704,0.695652,32,39,14,0.4700
bpRNA_RFAM_16828,153,0.354430,0.341463,0.368421,14,27,24,0.4800
bpRNA_RFAM_16845,135,0.472727,0.722222,0.351351,13,5,24,0.8800
bpRNA_RFAM_1686,63,0.882353,0.937500,0.833333,15,1,3,0.2500
bpRNA_RFAM_16873,87,0.666667,0.500000,1.000000,16,16,0,0.3400
bpRNA_RFAM_1688,74,0.952381,0.909091,1.000000,20,2,0,0.3000
bpRNA_RFAM_16889,42,0.880000,0.916667,0.846154,11,1,2,0.1400
bpRNA_RFAM_16899,129,0.571429,0.555556,0.588235,10,8,7,0.8200
bpRNA_RFAM_16915,132,0.606061,0.625000,0.588235,10,6,7,0.4900
bpRNA_RFAM_16961,133,0.666667,0.909091,0.526316,10,1,9,0.8300
bpRNA_RFAM_16976,130,0.722222,0.764706,0.684211,13,4,6,0.7000
bpRNA_RFAM_16983,129,0.764706,0.866667,0.684211,13,2,6,0.6800
bpRNA_RFAM_17009,120,0.418605,0.428571,0.409091,9,12,13,0.7900
bpRNA_RFAM_17013,120,0.333333,0.333333,0.333333,6,12,12,0.5500
bpRNA_RFAM_17049,80,0.564103,0.523810,0.611111,11,10,7,0.7200
bpRNA_RFAM_1706,71,0.952381,0.909091,1.000000,20,2,0,0.7800
bpRNA_RFAM_17074,76,0.153846,0.084967,0.812500,13,140,3,0.0600
bpRNA_RFAM_17079,130,0.721649,0.660377,0.795455,35,18,9,0.4100
bpRNA_RFAM_17136,132,0.718750,0.884615,0.605263,23,3,15,0.8800
bpRNA_RFAM_1727,81,1.000000,1.000000,1.000000,20,0,0,0.7900
bpRNA_RFAM_17317,121,0.733333,0.814815,0.666667,22,5,11,0.8000
bpRNA_RFAM_17325,123,0.690909,0.863636,0.575758,19,3,14,0.5700
bpRNA_RFAM_17358,118,0.175439,0.185185,0.166667,5,22,25,0.7900
bpRNA_RFAM_17374,135,0.626866,0.617647,0.636364,21,13,12,0.5600
bpRNA_RFAM_17436,111,0.344828,0.263158,0.500000,10,28,10,0.3100
bpRNA_RFAM_17438,112,0.285714,0.333333,0.250000,5,10,15,0.7300
bpRNA_RFAM_1753,70,1.000000,1.000000,1.000000,20,0,0,0.7400
bpRNA_RFAM_17567,95,0.823529,0.700000,1.000000,7,3,0,0.4900
bpRNA_RFAM_17782,131,0.431818,0.339286,0.593750,19,37,13,0.4600
bpRNA_RFAM_17799,137,0.400000,0.407407,0.392857,11,16,17,0.6500
bpRNA_RFAM_1783,73,0.780488,0.761905,0.800000,16,5,4,0.4800
bpRNA_RFAM_1793,72,0.926829,0.904762,0.950000,19,2,1,0.5200
bpRNA_RFAM_17930,85,1.000000,1.000000,1.000000,5,0,0,0.9000
bpRNA_RFAM_17957,74,1.000000,1.000000,1.000000,3,0,0,0.9700
bpRNA_RFAM_18003,127,0.571429,0.588235,0.555556,20,14,16,0.6300
bpRNA_RFAM_18136,158,0.640000,0.800000,0.533333,16,4,14,0.7900
bpRNA_RFAM_18140,166,0.439024,0.346154,0.600000,18,34,12,0.5500
bpRNA_RFAM_18195,126,0.145455,0.097561,0.285714,4,37,10,0.4800
bpRNA_RFAM_18263,192,0.263736,0.285714,0.244898,12,30,37,0.3400
bpRNA_RFAM_18325,69,0.920000,0.884615,0.958333,23,3,1,0.9000
bpRNA_RFAM_1839,73,0.926829,0.904762,0.950000,19,2,1,0.5800
bpRNA_RFAM_18409,66,0.740741,1.000000,0.588235,10,0,7,0.7500
bpRNA_RFAM_18415,62,0.692308,1.000000,0.529412,9,0,8,0.9400
bpRNA_RFAM_18433,118,0.533333,0.800000,0.400000,12,3,18,0.6600
bpRNA_RFAM_18477,343,0.045455,0.062500,0.035714,2,30,54,0.4200
bpRNA_RFAM_18510,200,0.703704,0.678571,0.730769,19,9,7,0.8300
bpRNA_RFAM_18515,227,0.541667,0.590909,0.500000,13,9,13,0.8600
bpRNA_RFAM_18517,208,0.432432,0.727273,0.307692,8,3,18,0.8300
bpRNA_RFAM_18594,88,0.596491,0.447368,0.894737,17,21,2,0.7600
bpRNA_RFAM_18619,126,0.818182,0.857143,0.782609,18,3,5,0.8400
bpRNA_RFAM_1862,69,1.000000,1.000000,1.000000,20,0,0,0.7800
bpRNA_RFAM_18622,118,0.597015,0.454545,0.869565,20,24,3,0.4500
bpRNA_RFAM_18669,79,0.500000,0.750000,0.375000,9,3,15,0.9500
bpRNA_RFAM_18679,79,0.818182,0.857143,0.782609,18,3,5,0.9600
bpRNA_RFAM_18686,80,0.692308,0.692308,0.692308,18,8,8,0.8300
bpRNA_RFAM_18692,80,0.714286,0.666667,0.769231,20,10,6,0.8800
bpRNA_RFAM_18693,79,0.416667,0.312500,0.625000,15,33,9,0.5400
